Postal Code;Place Name;State;State Abbreviation;County;City;Latitude;Longitude
5000;Aarau;Kanton Aargau;AG;Bezirk Aarau;Aarau;47,389000;8,048700
5001;Aarau;Kanton Aargau;AG;Bezirk Aarau;Aarau;47,392200;8,049700
5004;Aarau;Kanton Aargau;AG;Bezirk Aarau;Aarau;47,400500;8,060600
5017;Barmelweid;Kanton Aargau;AG;Bezirk Aarau;Erlinsbach (AG);47,421600;7,97000
5018;Erlinsbach;Kanton Aargau;AG;Bezirk Aarau;Erlinsbach (AG);47,412600;8,008900
5022;Rombach;Kanton Aargau;AG;Bezirk Aarau;Küttigen;47,405700;8,046600
5023;Biberstein;Kanton Aargau;AG;Bezirk Aarau;Biberstein;47,419500;8,082700
5024;Küttigen;Kanton Aargau;AG;Bezirk Aarau;Küttigen;47,420400;8,046100
5025;Asp;Kanton Aargau;AG;Bezirk Aarau;Densbüren;47,441800;8,053900
5026;Densbüren;Kanton Aargau;AG;Bezirk Aarau;Densbüren;47,455500;8,057200
5032;Aarau Rohr;Kanton Aargau;AG;Bezirk Aarau;Aarau;47,404500;8,080700
5033;Buchs AG;Kanton Aargau;AG;Bezirk Aarau;Buchs (AG);47,393100;8,075600
5034;Suhr;Kanton Aargau;AG;Bezirk Aarau;Suhr;47,374700;8,085900
5035;Unterentfelden;Kanton Aargau;AG;Bezirk Aarau;Unterentfelden;47,368600;8,041200
5036;Oberentfelden;Kanton Aargau;AG;Bezirk Aarau;Oberentfelden;47,354100;8,039600
5037;Muhen;Kanton Aargau;AG;Bezirk Aarau;Muhen;47,334100;8,063200
5042;Hirschthal;Kanton Aargau;AG;Bezirk Aarau;Hirschthal;47,317500;8,067800
5722;Gränichen;Kanton Aargau;AG;Bezirk Aarau;Gränichen;47,354300;8,105700
5300;Turgi;Kanton Aargau;AG;Bezirk Baden;Turgi;47,493400;8,252500
5301;Siggenthal Station;Kanton Aargau;AG;Bezirk Baden;Untersiggenthal;47,514900;8,239800
5303;Würenlingen;Kanton Aargau;AG;Bezirk Baden;Würenlingen;47,531000;8,247700
5400;Baden;Kanton Aargau;AG;Bezirk Baden;Baden;47,471600;8,292500
5401;Baden;Kanton Aargau;AG;Bezirk Baden;Baden;47,466700;8,300000
